"model_name","feature_name","importance","script_version"
"decision_tree","centrality_score_component",3001.7494633548,"research_layer_step02_five_ml_methods_v1"
"decision_tree","weighted_degree_out",2886.93376264949,"research_layer_step02_five_ml_methods_v1"
"decision_tree","weighted_degree_total",2886.93376264949,"research_layer_step02_five_ml_methods_v1"
"decision_tree","impact_score_component",2735.76724144709,"research_layer_step02_five_ml_methods_v1"
"decision_tree","top_impact_score",2735.76724144709,"research_layer_step02_five_ml_methods_v1"
"decision_tree","degree_total",2729.57986774546,"research_layer_step02_five_ml_methods_v1"
"logistic_regression","cluster_count",2.86251565843044e+21,"research_layer_step02_five_ml_methods_v1"
"logistic_regression","platform_diversity_score",1.90834477996975e+21,"research_layer_step02_five_ml_methods_v1"
"logistic_regression","topic_count",1.12255727267733e+21,"research_layer_step02_five_ml_methods_v1"
"logistic_regression","bridge_score",3.81668255426935e+20,"research_layer_step02_five_ml_methods_v1"
"logistic_regression","centrality_score_component",1.62902202853002e+20,"research_layer_step02_five_ml_methods_v1"
"logistic_regression","degree_total",22355691061535383552,"research_layer_step02_five_ml_methods_v1"
"logistic_regression","weighted_degree_total",2090628359037821952,"research_layer_step02_five_ml_methods_v1"
"logistic_regression","artefact_count",3443993407844282,"research_layer_step02_five_ml_methods_v1"
"logistic_regression","domain_count",3219801352334364,"research_layer_step02_five_ml_methods_v1"
"logistic_regression","dataset_count",634145562779656,"research_layer_step02_five_ml_methods_v1"
"naive_bayes","adoption_score_component",353669447.411751,"research_layer_step02_five_ml_methods_v1"
"naive_bayes","hf_total_downloads_observed",353586344.046094,"research_layer_step02_five_ml_methods_v1"
"naive_bayes","github_total_stars_observed",83103.3656573493,"research_layer_step02_five_ml_methods_v1"
"naive_bayes","weighted_degree_total",744.997984766653,"research_layer_step02_five_ml_methods_v1"
"naive_bayes","weighted_degree_out",744.997984766653,"research_layer_step02_five_ml_methods_v1"
"naive_bayes","impact_score_component",64.8365003919287,"research_layer_step02_five_ml_methods_v1"
"naive_bayes","top_impact_score",64.8365003919287,"research_layer_step02_five_ml_methods_v1"
"naive_bayes","evidence_score_component",53.3625097982173,"research_layer_step02_five_ml_methods_v1"
"naive_bayes","degree_total",31.9883714352671,"research_layer_step02_five_ml_methods_v1"
"naive_bayes","degree_out",31.9883714352671,"research_layer_step02_five_ml_methods_v1"
"random_forest","centrality_score_component",18.8172060178708,"research_layer_step02_five_ml_methods_v1"
"random_forest","weighted_degree_total",9.61531603757343,"research_layer_step02_five_ml_methods_v1"
"random_forest","weighted_degree_out",8.95726332002155,"research_layer_step02_five_ml_methods_v1"
"random_forest","top_impact_score",7.08689116146936,"research_layer_step02_five_ml_methods_v1"
"random_forest","bridge_score",5.73935552405914,"research_layer_step02_five_ml_methods_v1"
"random_forest","impact_score_component",4.78861094651529,"research_layer_step02_five_ml_methods_v1"
"random_forest","evidence_score_component",4.77640000932515,"research_layer_step02_five_ml_methods_v1"
"random_forest","adoption_score_component",4.2294548854553,"research_layer_step02_five_ml_methods_v1"
"random_forest","degree_total",3.71883803607944,"research_layer_step02_five_ml_methods_v1"
"random_forest","degree_out",3.53011074337658,"research_layer_step02_five_ml_methods_v1"
"support_vector_machine","adoption_score_component",353669447.411751,"research_layer_step02_five_ml_methods_v1"
"support_vector_machine","hf_total_downloads_observed",353586344.046094,"research_layer_step02_five_ml_methods_v1"
"support_vector_machine","github_total_stars_observed",83103.3656573493,"research_layer_step02_five_ml_methods_v1"
"support_vector_machine","weighted_degree_total",744.997984766653,"research_layer_step02_five_ml_methods_v1"
"support_vector_machine","weighted_degree_out",744.997984766653,"research_layer_step02_five_ml_methods_v1"
"support_vector_machine","impact_score_component",64.8365003919287,"research_layer_step02_five_ml_methods_v1"
"support_vector_machine","top_impact_score",64.8365003919287,"research_layer_step02_five_ml_methods_v1"
"support_vector_machine","evidence_score_component",53.3625097982173,"research_layer_step02_five_ml_methods_v1"
"support_vector_machine","degree_total",31.9883714352671,"research_layer_step02_five_ml_methods_v1"
"support_vector_machine","degree_out",31.9883714352671,"research_layer_step02_five_ml_methods_v1"

